day,date,well_id,css_cycle_no,css_stage,days_since_steam_injection,steam_volume_tonnes,injection_pressure_psi,steam_quality,soak_time_days,reservoir_temperature_c,reservoir_pressure_psi,viscosity_cp,oil_bpd,water_bpd,gas_mscfd,sor,energy_kwh,spm,vfd_frequency_hz,motor_current_a,estimated_fillage_pct,rod_load_kn,rod_floating_risk_score,rod_floating_risk_label
0,2025-01-01,BGW-01,1,injection,0,173.7,1398.7,0.707,,65.13,1720.5,2941.6,0.0,2.6,3.1,0.0,90.6,9.34,42.7,32.0,73.9,50.19,19.8,Low
1,2025-01-02,BGW-01,1,injection,1,176.3,1345.5,0.811,,85.08,1634.4,1091.2,0.0,0.0,0.0,0.0,86.1,9.16,42.55,29.72,90.6,51.68,6.9,Low
2,2025-01-03,BGW-01,1,soak,2,0.0,,,6.0,84.97,1638.4,1097.2,189.4,103.8,80.3,1.848,81.9,8.75,40.76,30.1,91.3,48.5,6.7,Low
3,2025-01-04,BGW-01,1,soak,3,0.0,,,6.0,85.45,1641.5,1071.0,194.8,105.5,81.4,0.911,86.7,9.2,42.1,29.93,90.4,44.43,6.9,Low
4,2025-01-05,BGW-01,1,soak,4,0.0,,,6.0,85.38,1625.5,1075.1,190.9,102.0,82.3,0.609,89.4,9.29,39.48,29.37,88.5,48.53,7.6,Low
5,2025-01-06,BGW-01,1,soak,5,0.0,,,6.0,86.31,1631.9,1026.3,193.7,102.9,80.9,0.455,83.4,8.62,40.3,29.71,87.1,47.52,7.9,Low
6,2025-01-07,BGW-01,1,soak,6,0.0,,,6.0,86.27,1641.8,1028.4,196.2,107.5,77.2,0.363,82.4,8.8,41.46,27.68,88.7,48.21,7.3,Low
7,2025-01-08,BGW-01,1,soak,7,0.0,,,6.0,86.58,1632.2,1012.7,198.2,108.1,82.0,0.301,82.0,8.87,41.88,27.36,84.9,44.55,8.6,Low
8,2025-01-09,BGW-01,1,production,8,0.0,,,,82.86,1643.2,1218.2,185.5,98.8,79.4,0.259,88.9,9.22,40.6,28.22,87.9,47.04,8.3,Low
9,2025-01-10,BGW-01,1,production,9,0.0,,,,78.22,1645.4,1534.2,181.9,98.7,70.4,0.229,85.2,9.02,41.21,29.79,87.0,51.73,9.8,Low
10,2025-01-11,BGW-01,1,production,10,0.0,,,,74.45,1694.7,1850.9,170.4,92.4,73.6,0.206,85.6,9.11,44.19,29.4,80.5,47.48,13.3,Low
11,2025-01-12,BGW-01,1,production,11,0.0,,,,70.82,1681.5,2216.7,161.3,86.2,58.6,0.188,85.0,9.09,43.26,34.13,87.5,51.09,12.3,Low
12,2025-01-13,BGW-01,1,production,12,0.0,,,,67.08,1702.5,2669.1,145.9,76.1,56.7,0.174,81.9,8.96,43.6,31.02,78.8,49.35,17.0,Low
13,2025-01-14,BGW-01,1,production,13,0.0,,,,64.69,1736.0,3006.3,134.0,77.4,54.1,0.163,82.6,8.85,40.22,30.77,73.1,56.53,20.3,Low
14,2025-01-15,BGW-01,1,production,14,0.0,,,,63.32,1724.4,3218.2,122.9,69.0,50.7,0.155,83.0,8.99,41.02,31.36,75.8,50.37,20.2,Low
15,2025-01-16,BGW-01,1,production,15,0.0,,,,61.68,1737.6,3491.5,127.0,68.9,50.3,0.146,92.6,9.39,42.33,33.58,71.4,54.37,22.8,Low
16,2025-01-17,BGW-01,1,production,16,0.0,,,,60.2,1765.0,3757.6,105.0,52.4,48.6,0.14,86.5,8.95,41.43,31.27,75.1,52.4,22.5,Low
17,2025-01-18,BGW-01,1,production,17,0.0,,,,58.52,1767.0,4085.6,101.6,54.2,42.0,0.135,84.3,9.03,42.97,36.88,47.1,61.51,41.8,Medium
18,2025-01-19,BGW-01,1,production,18,0.0,,,,56.71,1753.6,4470.9,89.1,50.7,30.4,0.13,84.9,8.85,41.51,36.79,54.6,64.18,40.1,Medium
19,2025-01-20,BGW-01,1,production,19,0.0,,,,55.17,1743.0,4824.6,79.9,43.7,32.7,0.126,86.5,9.03,42.34,38.67,55.6,60.33,42.3,Medium
20,2025-01-21,BGW-01,1,production,20,0.0,,,,53.33,1755.8,5288.3,65.6,36.3,31.1,0.124,83.1,8.8,38.78,37.44,45.7,65.71,46.5,Medium
21,2025-01-22,BGW-01,1,production,21,0.0,,,,52.48,1750.8,5516.2,53.4,24.4,29.9,0.121,84.1,8.67,44.76,36.16,54.1,63.62,43.5,Medium
22,2025-01-23,BGW-01,1,production,22,0.0,,,,52.8,1775.3,5427.7,58.9,31.0,26.7,0.119,86.4,8.89,41.8,39.48,40.6,68.42,49.8,Medium
23,2025-01-24,BGW-01,1,production,23,0.0,,,,51.73,1778.4,5725.9,58.3,34.4,23.9,0.117,91.4,9.02,42.0,40.68,39.7,69.84,52.1,Medium
24,2025-01-25,BGW-01,1,production,24,0.0,,,,52.03,1789.7,5640.1,59.4,29.7,19.3,0.114,85.8,9.08,42.72,41.79,36.8,71.74,53.4,Medium
25,2025-01-26,BGW-01,1,production,25,0.0,,,,51.08,1774.1,5913.4,51.7,28.0,19.5,0.112,86.1,8.92,42.23,36.46,45.5,67.96,48.9,Medium
26,2025-01-27,BGW-01,1,production,26,0.0,,,,50.68,1803.2,6032.5,45.2,19.0,19.4,0.111,82.2,8.54,43.3,40.3,41.6,68.04,51.0,Medium
27,2025-01-28,BGW-01,1,production,27,0.0,,,,50.92,1782.9,5961.0,51.2,32.8,25.2,0.109,90.4,9.52,42.66,40.25,39.6,70.78,54.4,Medium
28,2025-01-29,BGW-01,1,production,28,0.0,,,,50.95,1793.8,5952.0,42.1,25.0,16.1,0.108,86.4,9.23,44.73,38.44,41.2,69.94,52.2,Medium
29,2025-01-30,BGW-01,1,production,29,0.0,,,,50.07,1764.5,6217.2,48.9,28.3,16.8,0.106,88.6,9.01,40.18,41.86,36.4,74.76,55.5,Medium
30,2025-01-31,BGW-01,1,production,30,0.0,,,,48.21,1811.4,6818.6,28.7,15.7,13.1,0.105,82.1,8.38,41.11,39.78,39.8,75.74,54.0,Medium
31,2025-02-01,BGW-01,1,production,31,0.0,,,,48.42,1789.8,6750.5,25.6,16.2,14.5,0.104,88.8,9.07,42.41,42.79,31.7,75.17,59.7,Medium
32,2025-02-02,BGW-01,1,production,32,0.0,,,,48.69,1774.1,6658.9,24.9,13.0,15.9,0.104,86.7,8.75,42.3,41.55,39.4,75.17,55.3,Medium
33,2025-02-03,BGW-01,1,production,33,0.0,,,,48.85,1754.6,6608.2,33.8,25.2,12.7,0.102,89.4,9.48,41.31,44.11,33.2,71.4,60.4,Medium
34,2025-02-04,BGW-01,1,production,34,0.0,,,,47.52,1794.1,7058.7,16.8,10.4,8.8,0.102,84.9,8.58,38.53,42.18,35.3,75.91,58.0,Medium
35,2025-02-05,BGW-01,1,production,35,0.0,,,,47.36,1780.0,7113.9,23.1,13.2,11.4,0.101,86.3,8.95,42.3,42.4,35.0,76.29,59.5,Medium
36,2025-02-06,BGW-01,1,production,36,0.0,,,,47.07,1769.5,7219.0,21.0,5.3,3.2,0.101,83.2,8.3,40.98,42.16,37.9,74.86,56.8,Medium
37,2025-02-07,BGW-01,1,production,37,0.0,,,,47.67,1776.8,7006.9,20.9,15.3,8.7,0.1,89.3,8.82,39.78,42.93,31.4,77.88,60.2,Medium
38,2025-02-08,BGW-01,1,production,38,0.0,,,,46.58,1791.7,7394.5,14.8,4.8,7.8,0.1,81.2,8.45,43.39,43.15,31.7,74.99,60.5,Medium
39,2025-02-09,BGW-01,1,production,39,0.0,,,,46.69,1813.1,7355.6,12.5,7.7,6.5,0.099,87.3,8.9,39.78,42.9,34.3,78.33,60.7,Medium
40,2025-02-10,BGW-01,1,production,40,0.0,,,,46.45,1795.2,7443.7,13.3,13.0,13.6,0.099,88.8,9.05,43.61,45.05,27.1,78.86,64.8,Medium
41,2025-02-11,BGW-01,1,production,41,0.0,,,,45.81,1789.9,7683.5,5.0,0.0,0.0,0.099,85.8,8.91,44.91,42.95,32.1,78.44,62.8,Medium
